"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Willington School District","","2016-2017","Grade 1","Percent","Suspensions","-6666"
"Willington School District","","2016-2017","Grade 2","Percent","Suspensions","-6666"
"Willington School District","","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Willington School District","","2016-2017","Grade 4","Percent","Suspensions","-9999"
"Willington School District","","2016-2017","Grade 5","Percent","Suspensions","-9999"
"Willington School District","","2016-2017","Grade 6","Percent","Suspensions","-9999"
"Willington School District","","2016-2017","Grade 7","Percent","Suspensions","-9999"
"Willington School District","","2016-2017","Grade 8","Percent","Suspensions","15.1"
"Willington School District","","2016-2017","Grade 9","Percent","Suspensions","0"
"Willington School District","","2016-2017","Grade 10","Percent","Suspensions","0"
"Willington School District","","2016-2017","Grade 11","Percent","Suspensions","0"
"Willington School District","","2016-2017","Grade 12","Percent","Suspensions","0"
"Wilton School District","900186370","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Wilton School District","900186370","2009-2010","Grade 1","Percent","Suspensions","-6666"
"Wilton School District","900186370","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Wilton School District","900186370","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Wilton School District","900186370","2009-2010","Grade 4","Percent","Suspensions","-6666"
"Wilton School District","900186370","2009-2010","Grade 5","Percent","Suspensions","-9999"
"Wilton School District","900186370","2009-2010","Grade 6","Percent","Suspensions","2.0"
"Wilton School District","900186370","2009-2010","Grade 7","Percent","Suspensions","-9999"
"Wilton School District","900186370","2009-2010","Grade 8","Percent","Suspensions","3.0"
"Wilton School District","900186370","2009-2010","Grade 9","Percent","Suspensions","-9999"
"Wilton School District","900186370","2009-2010","Grade 10","Percent","Suspensions","3.1"
"Wilton School District","900186370","2009-2010","Grade 11","Percent","Suspensions","-9999"
"Wilton School District","900186370","2009-2010","Grade 12","Percent","Suspensions","3.1"
"Wilton School District","900186370","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Wilton School District","900186370","2010-2011","Grade 1","Percent","Suspensions","-9999"
"Wilton School District","900186370","2010-2011","Grade 2","Percent","Suspensions","-6666"
"Wilton School District","900186370","2010-2011","Grade 3","Percent","Suspensions","-6666"
"Wilton School District","900186370","2010-2011","Grade 4","Percent","Suspensions","-9999"
"Wilton School District","900186370","2010-2011","Grade 5","Percent","Suspensions","-9999"
"Wilton School District","900186370","2010-2011","Grade 6","Percent","Suspensions","2.1"
"Wilton School District","900186370","2010-2011","Grade 7","Percent","Suspensions","6.2"
"Wilton School District","900186370","2010-2011","Grade 8","Percent","Suspensions","4.3"
"Wilton School District","900186370","2010-2011","Grade 9","Percent","Suspensions","3.2"
"Wilton School District","900186370","2010-2011","Grade 10","Percent","Suspensions","3.3"
"Wilton School District","900186370","2010-2011","Grade 11","Percent","Suspensions","2.2"
"Wilton School District","900186370","2010-2011","Grade 12","Percent","Suspensions","-9999"
"Wilton School District","900186370","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Wilton School District","900186370","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Wilton School District","900186370","2011-2012","Grade 2","Percent","Suspensions","-6666"
"Wilton School District","900186370","2011-2012","Grade 3","Percent","Suspensions","-6666"
"Wilton School District","900186370","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Wilton School District","900186370","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Wilton School District","900186370","2011-2012","Grade 6","Percent","Suspensions","2.7"
"Wilton School District","900186370","2011-2012","Grade 7","Percent","Suspensions","1.7"
"Wilton School District","900186370","2011-2012","Grade 8","Percent","Suspensions","3.4"
"Wilton School District","900186370","2011-2012","Grade 9","Percent","Suspensions","2.3"
"Wilton School District","900186370","2011-2012","Grade 10","Percent","Suspensions","-9999"
"Wilton School District","900186370","2011-2012","Grade 11","Percent","Suspensions","-9999"
"Wilton School District","900186370","2011-2012","Grade 12","Percent","Suspensions","-9999"
"Wilton School District","900186370","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Wilton School District","900186370","2012-2013","Grade 1","Percent","Suspensions","-6666"
"Wilton School District","900186370","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Wilton School District","900186370","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Wilton School District","900186370","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Wilton School District","900186370","2012-2013","Grade 5","Percent","Suspensions","-9999"
"Wilton School District","900186370","2012-2013","Grade 6","Percent","Suspensions","-9999"
"Wilton School District","900186370","2012-2013","Grade 7","Percent","Suspensions","-9999"
"Wilton School District","900186370","2012-2013","Grade 8","Percent","Suspensions","-9999"
"Wilton School District","900186370","2012-2013","Grade 9","Percent","Suspensions","-9999"
"Wilton School District","900186370","2012-2013","Grade 10","Percent","Suspensions","2.1"
"Wilton School District","900186370","2012-2013","Grade 11","Percent","Suspensions","2.3"
"Wilton School District","900186370","2012-2013","Grade 12","Percent","Suspensions","3.4"
"Wilton School District","900186370","2013-2014","Kindergarten","Percent","Suspensions","-6666"
"Wilton School District","900186370","2013-2014","Grade 1","Percent","Suspensions","-6666"
"Wilton School District","900186370","2013-2014","Grade 2","Percent","Suspensions","-6666"
"Wilton School District","900186370","2013-2014","Grade 3","Percent","Suspensions","-6666"
"Wilton School District","900186370","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Wilton School District","900186370","2013-2014","Grade 5","Percent","Suspensions","-9999"
"Wilton School District","900186370","2013-2014","Grade 6","Percent","Suspensions","2.6"
"Wilton School District","900186370","2013-2014","Grade 7","Percent","Suspensions","-9999"
"Wilton School District","900186370","2013-2014","Grade 8","Percent","Suspensions","3.0"
"Wilton School District","900186370","2013-2014","Grade 9","Percent","Suspensions","-9999"
"Wilton School District","900186370","2013-2014","Grade 10","Percent","Suspensions","-9999"
"Wilton School District","900186370","2013-2014","Grade 11","Percent","Suspensions","1.8"
"Wilton School District","900186370","2013-2014","Grade 12","Percent","Suspensions","-9999"
"Wilton School District","900186370","2014-2015","Kindergarten","Percent","Suspensions","-6666"
"Wilton School District","900186370","2014-2015","Grade 1","Percent","Suspensions","-6666"
"Wilton School District","900186370","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Wilton School District","900186370","2014-2015","Grade 3","Percent","Suspensions","-6666"
"Wilton School District","900186370","2014-2015","Grade 4","Percent","Suspensions","-6666"
"Wilton School District","900186370","2014-2015","Grade 5","Percent","Suspensions","-9999"
"Wilton School District","900186370","2014-2015","Grade 6","Percent","Suspensions","-9999"
"Wilton School District","900186370","2014-2015","Grade 7","Percent","Suspensions","2.0"
"Wilton School District","900186370","2014-2015","Grade 8","Percent","Suspensions","11.9"
"Wilton School District","900186370","2014-2015","Grade 9","Percent","Suspensions","-9999"
"Wilton School District","900186370","2014-2015","Grade 10","Percent","Suspensions","-9999"
"Wilton School District","900186370","2014-2015","Grade 11","Percent","Suspensions","2.3"
"Wilton School District","900186370","2014-2015","Grade 12","Percent","Suspensions","-9999"
"Wilton School District","900186370","2015-2016","Kindergarten","Percent","Suspensions","-6666"
"Wilton School District","900186370","2015-2016","Grade 1","Percent","Suspensions","-6666"
"Wilton School District","900186370","2015-2016","Grade 2","Percent","Suspensions","-6666"
"Wilton School District","900186370","2015-2016","Grade 3","Percent","Suspensions","-6666"
"Wilton School District","900186370","2015-2016","Grade 4","Percent","Suspensions","-6666"
"Wilton School District","900186370","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Wilton School District","900186370","2015-2016","Grade 6","Percent","Suspensions","1.9"
"Wilton School District","900186370","2015-2016","Grade 7","Percent","Suspensions","2.2"
"Wilton School District","900186370","2015-2016","Grade 8","Percent","Suspensions","2.9"
"Wilton School District","900186370","2015-2016","Grade 9","Percent","Suspensions","-9999"
"Wilton School District","900186370","2015-2016","Grade 10","Percent","Suspensions","-9999"
"Wilton School District","900186370","2015-2016","Grade 11","Percent","Suspensions","-9999"
"Wilton School District","900186370","2015-2016","Grade 12","Percent","Suspensions","2.6"
"Wilton School District","900186370","2016-2017","Kindergarten","Percent","Suspensions","-6666"
"Wilton School District","900186370","2016-2017","Grade 1","Percent","Suspensions","-6666"
"Wilton School District","900186370","2016-2017","Grade 2","Percent","Suspensions","-6666"
"Wilton School District","900186370","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Wilton School District","900186370","2016-2017","Grade 4","Percent","Suspensions","-9999"
"Wilton School District","900186370","2016-2017","Grade 5","Percent","Suspensions","-6666"
"Wilton School District","900186370","2016-2017","Grade 6","Percent","Suspensions","-6666"
"Wilton School District","900186370","2016-2017","Grade 7","Percent","Suspensions","-9999"
"Wilton School District","900186370","2016-2017","Grade 8","Percent","Suspensions","-9999"
"Wilton School District","900186370","2016-2017","Grade 9","Percent","Suspensions","3.0"
"Wilton School District","900186370","2016-2017","Grade 10","Percent","Suspensions","4.0"
"Wilton School District","900186370","2016-2017","Grade 11","Percent","Suspensions","-9999"
"Wilton School District","900186370","2016-2017","Grade 12","Percent","Suspensions","2.6"
"Winchester School District","900586440","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Winchester School District","900586440","2009-2010","Grade 1","Percent","Suspensions","-6666"
"Winchester School District","900586440","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Winchester School District","900586440","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Winchester School District","900586440","2009-2010","Grade 4","Percent","Suspensions","-6666"
"Winchester School District","900586440","2009-2010","Grade 5","Percent","Suspensions","-9999"
"Winchester School District","900586440","2009-2010","Grade 6","Percent","Suspensions","-9999"
"Winchester School District","900586440","2009-2010","Grade 7","Percent","Suspensions","19.0"
"Winchester School District","900586440","2009-2010","Grade 8","Percent","Suspensions","9.4"
"Winchester School District","900586440","2009-2010","Grade 9","Percent","Suspensions","-9999"
